text,names
"The PalindromesGroup chat includes Salomée, Qéndresa Adrina, and Vithursan.","['Salomée', 'Qéndresa Adrina', 'Vithursan']"
"Narcis and Aiza visited the Princes Risborough art gallery on 09/09/1959. They spent 20 hours admiring the artwork, including pieces by Patrick-Marc Faverjon.","['Narcis', 'Aiza', 'Faverjon Patrick-Marc']"
"07:51:08 Menelaos Iouri to Chayanne: 'Hey, I need some help with designing a custom piece of jewelry for Sivalogini. I want it to represent our shared love of music.'","['Menelaos Iouri', 'Chayanne', 'Sivalogini']"
"The following people are attending the Stourbridge Belbroughton Food Festival: Norell, Visanu, and Eduard-Ionut Tancev.","['Norell', 'Visanu', 'Tancev Eduard-Ionut']"
Thevanesan: Hey Saliba! I need your help in drafting a plus-size pattern for Dionisa Magbule's birthday gift.,"['Thevanesan', 'Saliba', 'Magbule Dionisa']"
The garden bench memorial for Yushan Marie-Edith Zaharievska was dedicated on 2018-09-10T00:00:00 with a ceremony attended by Kely Borde and Mayar Karunaharan Cammarosano.,"['Zaharievska Yushan Marie-Edith', 'Borde Kely', 'Cammarosano Mayar Karunaharan']"
"Event attendees list: Tanea, Leondrit Olivier, and Baschir Radomir","['Tanea', 'Leondrit Olivier', 'Baschir Radomir']"
"Blue Planet volunteer list: Pathmajothy, Mohsine Nouriel, Miao.","['Pathmajothy', 'Mohsine Nouriel', 'Miao']"
"The following individuals have contributed to this project: Blenda Stoia, Elycia Kirchmayr Losmaz, and Gasser Ethanaël Dutranoy.","['Stoia Blenda', 'Kirchmayr Losmaz Elycia', 'Dutranoy Gasser Ethanaël']"
"From: Aberash Bajrishe Cosmadopoulos
To: Sulayman Lorenzon
Subject: Historical Import and Export via Rails
Hi Renu, I hope you're doing well. I've been going through some historical documents and I found some interesting information on the import and export via rails for Roosevelt. Would you like to take a look?","['Cosmadopoulos Aberash Bajrishe', 'Lorenzon Sulayman', 'Renu', 'Roosevelt']"
